Parameter,par_with_unit,key_par,Reservoir Model,Fracture Shape,Ramey Production Wellbore Model,Reservoir Volume Option,Reservoir Impedance,End-Use Option,Power Plant Type,Economic Model,Total Capital Cost,Well Drilling and Completion Capital Cost,Reservoir Stimulation Capital Cost,Surface Plant Capital Cost,Field Gathering System Capital Cost,Exploration Capital Cost,Total O&M Cost,Wellfield O&M Cost,Surface Plant O&M Cost,Water Cost,default_val
Fraction of Investment in Bonds,Fraction of Investment in Bonds,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5
Inflated Bond Interest Rate,Inflated Bond Interest Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.05
Inflated Equity Interest Rate,Inflated Equity Interest Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1
Inflation Rate,Inflation Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.02
Combined Income Tax Rate,Combined Income Tax Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3
Gross Revenue Tax Rate,Gross Revenue Tax Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Investment Tax Credit Rate,Investment Tax Credit Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Property Tax Rate,Property Tax Rate,-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Inflation Rate During Construction,Inflation Rate During Construction,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Total Capital Cost,Total Capital Cost (M.USD),-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,0
Well Drilling and Completion Capital Cost,Well Drilling and Completion Capital Cost (M.USD/well),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,0
Well Drilling and Completion Capital Cost Adjustment Factor,Well Drilling and Completion Capital Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,1
Well Drilling Cost Correlation,Well Drilling Cost Correlation,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,1
Reservoir Stimulation Capital Cost,Reservoir Stimulation Capital Cost (M.USD),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,0
Reservoir Stimulation Capital Cost Adjustment Factor,Reservoir Stimulation Capital Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,1
Surface Plant Capital Cost,Surface Plant Capital Cost (M.USD),-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,1,-999,-999,-999,-999,-999,-999,0
Surface Plant Capital Cost Adjustment Factor,Surface Plant Capital Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,1
Field Gathering System Capital Cost,Field Gathering System Capital Cost (M.USD),-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-999,-999,-999,-999,-999,0
Field Gathering System Capital Cost Adjustment Factor,Field Gathering System Capital Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,1
Exploration Capital Cost,Exploration Capital Cost (M.USD),-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,1,-999,-999,-999,-999,0
Exploration Capital Cost Adjustment Factor,Exploration Capital Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,0,-999,-999,-999,-999,1
Total O&M Cost,Total O&M Cost (M.USD/year),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,0
Wellfield O&M Cost,Wellfield O&M Cost (M.USD/year),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,-999,-999,0
Wellfield O&M Cost Adjustment Factor,Wellfield O&M Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1
Surface Plant O&M Cost,Surface Plant O&M Cost (M.USD/year),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,1,-999,0
Surface Plant O&M Cost Adjustment Factor,Surface Plant O&M Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,0,-999,1
Water Cost,Water Cost (M.USD/year),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,1,0
Water Cost Adjustment Factor,Water Cost Adjustment Factor,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,1
Electricity Rate,Electricity Rate (USD/kWh),-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.07
Electricity Rate,Electricity Rate (USD/kWh),-999,-999,-999,-999,-999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.07
Electricity Rate,Electricity Rate (USD/kWh),-999,-999,-999,-999,-999,-999,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.07
Electricity Rate,Electricity Rate (USD/kWh),-999,-999,-999,-999,-999,-999,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.07
Heat Rate,Heat Rate (USD/kWh),-999,-999,-999,-999,-999,-999,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.02
Heat Rate,Heat Rate (USD/kWh),-999,-999,-999,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.02
Heat Rate,Heat Rate (USD/kWh),-999,-999,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.02
Time steps per year,Time steps per year,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4
